"scenario","year","variable","value","units","parameter_value"
"Ref_50",1850,"Tgav",0.0900066675861855,"degC","ECS_1.5"
"Ref_50",1851,"Tgav",0.0921759797209684,"degC","ECS_1.5"
"Ref_50",1852,"Tgav",0.0958857956273617,"degC","ECS_1.5"
"Ref_50",1853,"Tgav",0.100456703751796,"degC","ECS_1.5"
"Ref_50",1854,"Tgav",0.104984395333664,"degC","ECS_1.5"
"Ref_50",1855,"Tgav",0.0979239834292561,"degC","ECS_1.5"
"Ref_50",1856,"Tgav",0.0557208242191084,"degC","ECS_1.5"
"Ref_50",1857,"Tgav",0.00659373998853458,"degC","ECS_1.5"
"Ref_50",1858,"Tgav",0.00052597378383886,"degC","ECS_1.5"
"Ref_50",1859,"Tgav",0.0245001883535656,"degC","ECS_1.5"
"Ref_50",1860,"Tgav",0.0501919728369013,"degC","ECS_1.5"
"Ref_50",1861,"Tgav",0.0655766221399945,"degC","ECS_1.5"
"Ref_50",1862,"Tgav",0.0685257676547114,"degC","ECS_1.5"
"Ref_50",1863,"Tgav",0.071683325266232,"degC","ECS_1.5"
"Ref_50",1864,"Tgav",0.0813323582516665,"degC","ECS_1.5"
"Ref_50",1865,"Tgav",0.0923187757201734,"degC","ECS_1.5"
"Ref_50",1866,"Tgav",0.101721911373132,"degC","ECS_1.5"
"Ref_50",1867,"Tgav",0.109228487767291,"degC","ECS_1.5"
"Ref_50",1868,"Tgav",0.114910664593279,"degC","ECS_1.5"
"Ref_50",1869,"Tgav",0.118566675705143,"degC","ECS_1.5"
"Ref_50",1870,"Tgav",0.121210670649381,"degC","ECS_1.5"
"Ref_50",1871,"Tgav",0.123677402341035,"degC","ECS_1.5"
"Ref_50",1872,"Tgav",0.124994136914156,"degC","ECS_1.5"
"Ref_50",1873,"Tgav",0.125457286947657,"degC","ECS_1.5"
"Ref_50",1874,"Tgav",0.127211208426508,"degC","ECS_1.5"
"Ref_50",1875,"Tgav",0.128623074965531,"degC","ECS_1.5"
"Ref_50",1876,"Tgav",0.126929604909907,"degC","ECS_1.5"
"Ref_50",1877,"Tgav",0.126182846612738,"degC","ECS_1.5"
"Ref_50",1878,"Tgav",0.129214757636656,"degC","ECS_1.5"
"Ref_50",1879,"Tgav",0.133906800321743,"degC","ECS_1.5"
"Ref_50",1880,"Tgav",0.138967995605418,"degC","ECS_1.5"
"Ref_50",1881,"Tgav",0.143842529637279,"degC","ECS_1.5"
"Ref_50",1882,"Tgav",0.13880893732879,"degC","ECS_1.5"
"Ref_50",1883,"Tgav",0.060483959505331,"degC","ECS_1.5"
"Ref_50",1884,"Tgav",-0.0531922952891011,"degC","ECS_1.5"
"Ref_50",1885,"Tgav",-0.078874209970537,"degC","ECS_1.5"
"Ref_50",1886,"Tgav",-0.0526414559611448,"degC","ECS_1.5"
"Ref_50",1887,"Tgav",-0.0258681503216975,"degC","ECS_1.5"
"Ref_50",1888,"Tgav",-0.000872313510807313,"degC","ECS_1.5"
"Ref_50",1889,"Tgav",0.0096061665546487,"degC","ECS_1.5"
"Ref_50",1890,"Tgav",0.0118732958238203,"degC","ECS_1.5"
"Ref_50",1891,"Tgav",0.0197276160285685,"degC","ECS_1.5"
"Ref_50",1892,"Tgav",0.0403445119812705,"degC","ECS_1.5"
"Ref_50",1893,"Tgav",0.0672834522427925,"degC","ECS_1.5"
"Ref_50",1894,"Tgav",0.0950838310818438,"degC","ECS_1.5"
"Ref_50",1895,"Tgav",0.113941527652528,"degC","ECS_1.5"
"Ref_50",1896,"Tgav",0.115541990983176,"degC","ECS_1.5"
"Ref_50",1897,"Tgav",0.111116819794326,"degC","ECS_1.5"
"Ref_50",1898,"Tgav",0.118334567586914,"degC","ECS_1.5"
"Ref_50",1899,"Tgav",0.134287171022784,"degC","ECS_1.5"
"Ref_50",1900,"Tgav",0.150509723772321,"degC","ECS_1.5"
"Ref_50",1901,"Tgav",0.161694499227575,"degC","ECS_1.5"
"Ref_50",1902,"Tgav",0.133273152211946,"degC","ECS_1.5"
"Ref_50",1903,"Tgav",0.0823532034440096,"degC","ECS_1.5"
"Ref_50",1904,"Tgav",0.0743524577046096,"degC","ECS_1.5"
"Ref_50",1905,"Tgav",0.101062646866396,"degC","ECS_1.5"
"Ref_50",1906,"Tgav",0.127693266310458,"degC","ECS_1.5"
"Ref_50",1907,"Tgav",0.143448734595531,"degC","ECS_1.5"
"Ref_50",1908,"Tgav",0.155559433512317,"degC","ECS_1.5"
"Ref_50",1909,"Tgav",0.17045525633103,"degC","ECS_1.5"
"Ref_50",1910,"Tgav",0.184844503727422,"degC","ECS_1.5"
"Ref_50",1911,"Tgav",0.196405370670731,"degC","ECS_1.5"
"Ref_50",1912,"Tgav",0.18540632127461,"degC","ECS_1.5"
"Ref_50",1913,"Tgav",0.170239789113611,"degC","ECS_1.5"
"Ref_50",1914,"Tgav",0.179490819894702,"degC","ECS_1.5"
"Ref_50",1915,"Tgav",0.196175119367887,"degC","ECS_1.5"
"Ref_50",1916,"Tgav",0.210495725404891,"degC","ECS_1.5"
"Ref_50",1917,"Tgav",0.221677854674087,"degC","ECS_1.5"
"Ref_50",1918,"Tgav",0.23086238698272,"degC","ECS_1.5"
"Ref_50",1919,"Tgav",0.237805792788498,"degC","ECS_1.5"
"Ref_50",1920,"Tgav",0.236863777093345,"degC","ECS_1.5"
"Ref_50",1921,"Tgav",0.235950524971953,"degC","ECS_1.5"
"Ref_50",1922,"Tgav",0.243608531348522,"degC","ECS_1.5"
"Ref_50",1923,"Tgav",0.251629217686657,"degC","ECS_1.5"
"Ref_50",1924,"Tgav",0.25672520649014,"degC","ECS_1.5"
"Ref_50",1925,"Tgav",0.261035393221289,"degC","ECS_1.5"
"Ref_50",1926,"Tgav",0.265599847132537,"degC","ECS_1.5"
"Ref_50",1927,"Tgav",0.26950628572275,"degC","ECS_1.5"
"Ref_50",1928,"Tgav",0.269036878632217,"degC","ECS_1.5"
"Ref_50",1929,"Tgav",0.265564791694532,"degC","ECS_1.5"
"Ref_50",1930,"Tgav",0.266423142379127,"degC","ECS_1.5"
"Ref_50",1931,"Tgav",0.270290419407632,"degC","ECS_1.5"
"Ref_50",1932,"Tgav",0.271234608812677,"degC","ECS_1.5"
"Ref_50",1933,"Tgav",0.273328200519673,"degC","ECS_1.5"
"Ref_50",1934,"Tgav",0.278764104059238,"degC","ECS_1.5"
"Ref_50",1935,"Tgav",0.2838695521979,"degC","ECS_1.5"
"Ref_50",1936,"Tgav",0.289020194258923,"degC","ECS_1.5"
"Ref_50",1937,"Tgav",0.293283993584647,"degC","ECS_1.5"
"Ref_50",1938,"Tgav",0.295785581377149,"degC","ECS_1.5"
"Ref_50",1939,"Tgav",0.298502776864221,"degC","ECS_1.5"
"Ref_50",1940,"Tgav",0.30300097784171,"degC","ECS_1.5"
"Ref_50",1941,"Tgav",0.308048221884114,"degC","ECS_1.5"
"Ref_50",1942,"Tgav",0.310880260187286,"degC","ECS_1.5"
"Ref_50",1943,"Tgav",0.313576867696245,"degC","ECS_1.5"
"Ref_50",1944,"Tgav",0.31863590163584,"degC","ECS_1.5"
"Ref_50",1945,"Tgav",0.324284491341601,"degC","ECS_1.5"
"Ref_50",1946,"Tgav",0.329886315238485,"degC","ECS_1.5"
"Ref_50",1947,"Tgav",0.334189671579881,"degC","ECS_1.5"
"Ref_50",1948,"Tgav",0.338264648481799,"degC","ECS_1.5"
"Ref_50",1949,"Tgav",0.341874772520653,"degC","ECS_1.5"
"Ref_50",1950,"Tgav",0.345585595633056,"degC","ECS_1.5"
"Ref_50",1951,"Tgav",0.350162577595519,"degC","ECS_1.5"
"Ref_50",1952,"Tgav",0.354737552320158,"degC","ECS_1.5"
"Ref_50",1953,"Tgav",0.359210430405177,"degC","ECS_1.5"
"Ref_50",1954,"Tgav",0.364846550512624,"degC","ECS_1.5"
"Ref_50",1955,"Tgav",0.372776038102436,"degC","ECS_1.5"
"Ref_50",1956,"Tgav",0.381542257957942,"degC","ECS_1.5"
"Ref_50",1957,"Tgav",0.390811772606749,"degC","ECS_1.5"
"Ref_50",1958,"Tgav",0.400142728552491,"degC","ECS_1.5"
"Ref_50",1959,"Tgav",0.408886045683066,"degC","ECS_1.5"
"Ref_50",1960,"Tgav",0.411392629590386,"degC","ECS_1.5"
"Ref_50",1961,"Tgav",0.408363379831931,"degC","ECS_1.5"
"Ref_50",1962,"Tgav",0.403115931610603,"degC","ECS_1.5"
"Ref_50",1963,"Tgav",0.362662457292084,"degC","ECS_1.5"
"Ref_50",1964,"Tgav",0.308117655172625,"degC","ECS_1.5"
"Ref_50",1965,"Tgav",0.301210787690901,"degC","ECS_1.5"
"Ref_50",1966,"Tgav",0.33185250650904,"degC","ECS_1.5"
"Ref_50",1967,"Tgav",0.364983585481354,"degC","ECS_1.5"
"Ref_50",1968,"Tgav",0.372071756840975,"degC","ECS_1.5"
"Ref_50",1969,"Tgav",0.372328905497283,"degC","ECS_1.5"
"Ref_50",1970,"Tgav",0.395664049718822,"degC","ECS_1.5"
"Ref_50",1971,"Tgav",0.429700124807986,"degC","ECS_1.5"
"Ref_50",1972,"Tgav",0.459420981882659,"degC","ECS_1.5"
"Ref_50",1973,"Tgav",0.47917562358026,"degC","ECS_1.5"
"Ref_50",1974,"Tgav",0.484441377014124,"degC","ECS_1.5"
"Ref_50",1975,"Tgav",0.484147412650054,"degC","ECS_1.5"
"Ref_50",1976,"Tgav",0.498997181051521,"degC","ECS_1.5"
"Ref_50",1977,"Tgav",0.526534284339918,"degC","ECS_1.5"
"Ref_50",1978,"Tgav",0.547523979811222,"degC","ECS_1.5"
"Ref_50",1979,"Tgav",0.56464290801574,"degC","ECS_1.5"
"Ref_50",1980,"Tgav",0.585469679244769,"degC","ECS_1.5"
"Ref_50",1981,"Tgav",0.598091004715972,"degC","ECS_1.5"
"Ref_50",1982,"Tgav",0.554831694940574,"degC","ECS_1.5"
"Ref_50",1983,"Tgav",0.505399287953052,"degC","ECS_1.5"
"Ref_50",1984,"Tgav",0.523170155777754,"degC","ECS_1.5"
"Ref_50",1985,"Tgav",0.564615018927346,"degC","ECS_1.5"
"Ref_50",1986,"Tgav",0.599619895527883,"degC","ECS_1.5"
"Ref_50",1987,"Tgav",0.628193979964295,"degC","ECS_1.5"
"Ref_50",1988,"Tgav",0.654223836749495,"degC","ECS_1.5"
"Ref_50",1989,"Tgav",0.677740177107204,"degC","ECS_1.5"
"Ref_50",1990,"Tgav",0.694900817927053,"degC","ECS_1.5"
"Ref_50",1991,"Tgav",0.631731192903844,"degC","ECS_1.5"
"Ref_50",1992,"Tgav",0.54349928701498,"degC","ECS_1.5"
"Ref_50",1993,"Tgav",0.548071532301208,"degC","ECS_1.5"
"Ref_50",1994,"Tgav",0.602165743449553,"degC","ECS_1.5"
"Ref_50",1995,"Tgav",0.655306255497302,"degC","ECS_1.5"
"Ref_50",1996,"Tgav",0.696957324174925,"degC","ECS_1.5"
"Ref_50",1997,"Tgav",0.732455658789233,"degC","ECS_1.5"
"Ref_50",1998,"Tgav",0.76122088694065,"degC","ECS_1.5"
"Ref_50",1999,"Tgav",0.784487203533534,"degC","ECS_1.5"
"Ref_50",2000,"Tgav",0.804229631449836,"degC","ECS_1.5"
"Ref_50",2001,"Tgav",0.822105466452813,"degC","ECS_1.5"
"Ref_50",2002,"Tgav",0.839300783229017,"degC","ECS_1.5"
"Ref_50",2003,"Tgav",0.854970252465051,"degC","ECS_1.5"
"Ref_50",2004,"Tgav",0.870657845723364,"degC","ECS_1.5"
"Ref_50",2005,"Tgav",0.8826168408432,"degC","ECS_1.5"
"Ref_50",2006,"Tgav",0.885311829988187,"degC","ECS_1.5"
"Ref_50",2007,"Tgav",0.885829251647409,"degC","ECS_1.5"
"Ref_50",2008,"Tgav",0.890734813583682,"degC","ECS_1.5"
"Ref_50",2009,"Tgav",0.898525838837657,"degC","ECS_1.5"
"Ref_50",2010,"Tgav",0.908019156588623,"degC","ECS_1.5"
"Ref_50",2011,"Tgav",0.918258580648333,"degC","ECS_1.5"
"Ref_50",2012,"Tgav",0.928521611247153,"degC","ECS_1.5"
"Ref_50",2013,"Tgav",0.938416102858361,"degC","ECS_1.5"
"Ref_50",2014,"Tgav",0.948162327360278,"degC","ECS_1.5"
"Ref_50",2015,"Tgav",0.957942332576017,"degC","ECS_1.5"
"Ref_50",2016,"Tgav",0.967922808855984,"degC","ECS_1.5"
"Ref_50",2017,"Tgav",0.978248755931886,"degC","ECS_1.5"
"Ref_50",2018,"Tgav",0.989000275225169,"degC","ECS_1.5"
"Ref_50",2019,"Tgav",1.00015715830232,"degC","ECS_1.5"
"Ref_50",2020,"Tgav",1.01170681481579,"degC","ECS_1.5"
"Ref_50",2021,"Tgav",1.023802689871,"degC","ECS_1.5"
"Ref_50",2022,"Tgav",1.03639159220032,"degC","ECS_1.5"
