gas,year,emissions
CO2,2010,9.14902
CO2NetLandUse,2006,0.7058
CO2NetLandUse,2007,0.703632
CO2NetLandUse,2008,0.697544
CO2NetLandUse,2009,0.688182
CO2NetLandUse,2010,0.676295
CH4,2010,373.393
CO,2010,877.942
N2O,2010,6.84524
NOx,2010,39.6743
SO2tot,2010,67884.4
CF4,2010,9.60927
C2F6,2010,2.08443
SF6,2010,6.31375
HFC125,2010,31.1159
HFC134a,2010,155.369
HFC245fa,2010,23.8281
NMVOCs,2010,162.978
BC,2010,8.70988
OC,2010,36.9303
CO2,2015,9.64605
CO2NetLandUse,2011,0.82157
CO2NetLandUse,2012,0.837529
CO2NetLandUse,2013,0.854366
CO2NetLandUse,2014,0.87172
CO2NetLandUse,2015,0.889306
CH4,2015,391.379
CO,2015,961.876
N2O,2015,7.33819
NOx,2015,42.3549
SO2tot,2015,72808.9
CF4,2015,9.47298
C2F6,2015,2.07386
SF6,2015,7.21184
HFC125,2015,31.1159
HFC134a,2015,209.799
HFC245fa,2015,38.379
NMVOCs,2015,172.914
BC,2015,9.07903
OC,2015,39.8681
CO2,2020,10.7556
CO2NetLandUse,2016,0.0669877
CO2NetLandUse,2017,0.0596209
CO2NetLandUse,2018,0.0586206
CO2NetLandUse,2019,0.0616507
CO2NetLandUse,2020,0.0672642
CH4,2020,408.239
CO,2020,840.608
N2O,2020,7.64741
NOx,2020,39.6518
SO2tot,2020,67775.5
CF4,2020,9.60856
C2F6,2020,2.13566
SF6,2020,8.11464
HFC125,2020,93.0634
HFC134a,2020,278.112
HFC245fa,2020,63.7586
NMVOCs,2020,162.368
BC,2020,7.89263
OC,2020,33.6004
CO2,2025,11.7265
CO2NetLandUse,2021,0.0392827
CO2NetLandUse,2022,0.0463849
CO2NetLandUse,2023,0.0543457
CO2NetLandUse,2024,0.0628492
CO2NetLandUse,2025,0.0716668
CH4,2025,427.947
CO,2025,802.999
N2O,2025,8.05856
NOx,2025,38.2536
SO2tot,2025,63395.3
CF4,2025,9.78215
C2F6,2025,2.19695
SF6,2025,8.96908
HFC125,2025,95.564
HFC134a,2025,367.168
HFC245fa,2025,85.0592
NMVOCs,2025,160.462
BC,2025,7.50514
OC,2025,32.2473
CO2,2030,12.6372
CO2NetLandUse,2026,0.101944
CO2NetLandUse,2027,0.108353
CO2NetLandUse,2028,0.115069
CO2NetLandUse,2029,0.121963
CO2NetLandUse,2030,0.128933
CH4,2030,442.593
CO,2030,775.624
N2O,2030,8.48562
NOx,2030,37.015
SO2tot,2030,59606.5
CF4,2030,9.94515
C2F6,2030,2.25445
SF6,2030,9.89754
HFC125,2030,157.712
HFC134a,2030,482.647
HFC245fa,2030,127.383
NMVOCs,2030,159.464
BC,2030,7.19748
OC,2030,31.6043
CO2,2035,13.3934
CO2NetLandUse,2031,0.095086
CO2NetLandUse,2032,0.101763
CO2NetLandUse,2033,0.108537
CO2NetLandUse,2034,0.115313
CO2NetLandUse,2035,0.122017
CH4,2035,452.427
CO,2035,746.647
N2O,2035,8.84975
NOx,2035,36.0527
SO2tot,2035,56882.9
CF4,2035,10.0196
C2F6,2035,2.29417
SF6,2035,10.7275
HFC125,2035,161.045
HFC134a,2035,537.573
HFC245fa,2035,140.558
NMVOCs,2035,158.899
BC,2035,6.94851
OC,2035,30.8157
CO2,2040,14.0266
CO2NetLandUse,2036,0.0390475
CO2NetLandUse,2037,0.0487342
CO2NetLandUse,2038,0.0578337
CO2NetLandUse,2039,0.0663695
CO2NetLandUse,2040,0.0743684
