;SSP126 emissions
 ;https://www.rcmip.org/
 "Date","BC_emissions","C2F6_emissions","CCl4_emissions","CF4_emissions","CFC11_emissions","CFC113_emissions","CFC114_emissions","CFC115_emissions","CFC12_emissions","CH3Br_emissions","CH3CCl3_emissions","CH3Cl_emissions","CH4_emissions","CO_emissions","ffi_emissions","halon1211_emissions","halon1301_emissions","halon2402_emissions","HCFC141b_emissions","HCFC142b_emissions","HCFC22_emissions","HFC125_emissions","HFC134a_emissions","HFC143a_emissions","HFC227ea_emissions","HFC23_emissions","HFC245fa_emissions","HFC32_emissions","HFC4310_emissions","luc_emissions","N2O_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions","NMVOC_emissions"
"1750",2.09777075542297,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.52735877736,0.0837191526558906,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811267108673698,0.0273758691789487,4.05287309856365,15.4476681469614,0,1219.07211485333,60.0218262241548
"1751",2.07292592577364,0,0.024856862,0.010071225,0,0,0,0,0,105.1072,0,4276.7685,18.9151088699315,343.92636724866,0.0852117441132589,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08261920868713,0.0278930613080733,4.00739361646918,15.1887167442771,0,1203.2498238574,59.0881262814941
"1752",2.06431193291935,0,0.024856862,0.010071225,0,0,0,0,0,105.12502,0,4277.7049,18.8897118118868,341.809033901687,0.0867328010887766,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841391641680991,0.028420024367088,4.00801965533746,15.034475741404,0,1197.62267161704,58.6319970268832
"1753",2.07195056351547,0,0.024856862,0.010071225,0,0,0,0,0,105.10373,0,4276.586,19.1213772311719,343.675456209175,0.0882808130104457,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856870824521602,0.0289569429509732,3.99069137759481,15.1825451510084,0,1204.4060342321,59.0263494002083
"1754",2.09934978275426,0,0.024856862,0.010071225,0,0,0,0,0,105.07356,0,4274.9998,19.5090610650158,349.815625200644,0.089858310027186,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872634779743519,0.0295040051421262,4.02156603918776,15.5587730495973,0,1230.07193316389,60.2699451738459
"1755",2.09917316496601,0,0.024856862,0.010071225,0,0,0,0,0,105.09182,0,4275.9598,19.5004549333117,348.144667955229,0.0914648081812188,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088868874633836,0.0300614025762465,4.06266835182839,15.3581825270901,0,1220.22456919522,59.8249337246985
"1756",2.06891540700232,0,0.024856862,0.010071225,0,0,0,0,0,105.08556,0,4275.6306,19.4625365998159,343.323151675845,0.0932772159745539,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905038059680101,0.0306293305094658,3.95133835601373,15.1957766257221,0,1208.64820098131,58.9468293122355
"1757",2.14792367618288,0,0.024856862,0.010071225,0,0,0,0,0,105.09137,0,4275.9361,20.0235406641442,355.941892263191,0.0949433268309155,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092168815329823,0.0312079878867458,4.17951408099744,15.7048191203741,0,1252.75393848256,61.2636929962836
"1758",2.12061140956071,0,0.024856862,0.010071225,0,0,0,0,0,105.09662,0,4276.2118,19.9340053291859,351.839749049401,0.0966400690639939,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938644560683528,0.0317975774115691,4.13056647562176,15.51461162934,0,1238.90432125522,60.4346124437883
"1759",2.1172674310974,0,0.024856862,0.010071225,0,0,0,0,0,105.08372,0,4275.5338,20.1414662138841,351.507762725668,0.0983680062028968,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955912917127071,0.0323983056169457,4.05838954431548,15.5740134912391,0,1235.79885110221,60.4452630525709
"1760",2.1278041049415,0,0.024856862,0.010071225,0,0,0,0,0,105.04022,0,4273.2473,20.4167971445005,354.418285308152,0.100126704287103,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973498961593057,0.0330103829377616,4.04570760399773,15.8190639303234,0,1247.89798233807,61.0517247888764
"1761",2.13775698945282,0,0.024856862,0.010071225,0,0,0,0,0,105.09143,0,4275.9395,20.4559901689881,354.707967919958,0.102180811569517,0.0077232726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991408538626099,0.0336340237844942,4.12656953319777,15.6919158825748,0,1253.61180332467,60.9842272006638
"1762",2.10174810890934,0,0.024856862,0.010071225,0,0,0,0,0,105.08127,0,4275.4052,20.4516873819768,349.249697227733,0.104005824510809,0.0077232726,0,0,0,0,0,0,0,0,8.3203315e-08,0,0,1.5142326e-06,0,0.100964760029359,0.0342694466183199,3.97795183521451,15.5259353061462,0,1232.28964078611,60.0270893345371
"1763",2.10702975799492,0,0.024856862,0.010071225,0,0,0,0,0,105.09332,0,4276.0386,20.545179336814,350.059334922033,0.105864392072376,0.0077232726,0,0,0,0,0,0,0,0,6.6788058e-07,0,0,1.2367808e-05,0,0.102822220816384,0.0349168740276414,4.02033060826545,15.5267624877881,0,1239.52800437153,60.1270662726886
"1764",2.07154922669863,0,0.024856862,0.010071225,0,0,0,0,0,105.1104,0,4276.9364,20.2609172101632,342.044610656275,0.107757131562587,0.0077232726,0,0,0,0,0,0,0,0,1.2683334e-06,0,0,2.4998684e-05,0,0.104713853532053,0.03557653280606,4.00240804898933,14.9586989847644,0,1209.98895690714,58.4383571668174
"1765",2.12360002191313,0,0.024856862,0.010071225,0,0,0,0,0,105.07293,0,4274.9668,20.9191549980775,352.932725766386,0.109684671646509,0.0077232726,0,0,0,0,0,0,0,0,1.3852706e-06,0,0,3.0313258e-05,0,0.106640286841433,0.0362486540318213,4.05378585112364,15.6799241055036,0,1247.80249170016,60.6294578594889
"1766",2.11045997713535,0,0.024856862,0.010071225,0,0,0,0,0,105.07758,0,4275.2111,20.8535919006327,349.380645000613,0.111996371056294,0.0077232726,0,0,0,0,0,0,0,0,1.4212948e-06,0,0,3.4371719e-05,0,0.108602160975214,0.0369334731487623,4.06078684459809,15.3588308147083,0,1241.23474919693,59.8587846262672
"1767",2.11246070143864,0,0.024856862,0.010071225,0,0,0,0,0,105.08566,0,4275.6359,20.9991794556607,349.616098996423,0.113995444798113,0.0077232726,0,0,0,0,0,0,0,0,1.4573362e-06,0,0,3.8432158e-05,0,0.11060012794249,0.0376312300487866,4.05621209431615,15.400564496222,0,1240.40267712331,59.8910269005087
"1768",2.18313204020354,0,0.024856862,0.010071225,0,0,0,0,0,105.04673,0,4273.5893,21.6594521135173,362.653684827094,0.116031275377608,0.0077232726,0,0,0,0,0,0,0,0,1.4932143e-06,0,0,4.247379e-05,0,0.112634851747443,0.0383421691558991,4.22192021819953,16.063730202231,0,1291.67993831181,62.3658255529826
"1769",2.13763374164401,0,0.024856862,0.010071225,0,0,0,0,0,105.0767,0,4275.165,21.49633535034,355.02541845169,0.118104539014726,0.0077232726,0,0,0,0,0,0,0,0,1.5293427e-06,0,0,4.6544254e-05,0,0.114707008610019,0.0390665395118272,4.09190187164527,15.7350947915743,0,1270.38661126577,60.9504036050011
"1770",2.13936473875226,0,0.024856862,0.010071225,0,0,0,0,0,105.04544,0,4273.5216,21.6343975722445,355.360547556511,0.120215924369915,0.0077232726,0,0,0,0,0,0,0,0,1.5651961e-06,0,0,5.0583038e-05,0,0.116817287190665,0.0398045948632602,4.10497123050439,15.7427150854692,0,1274.50694960858,60.9660272086727
"1771",2.10090970062101,0,0.024856862,0.010071225,0,0,0,0,0,105.07227,0,4274.9318,21.4289211013294,347.861988293852,0.122732998337272,0.0077232726,0,0,0,0,0,0,0,0,1.6013494e-06,0,0,5.4656378e-05,0,0.118966388819195,0.0405565937507367,4.01723984214239,15.3219773917994,0,1227.25365867926,59.4242403293308
"1772",2.08707754134239,0,0.024856862,0.010071225,0,0,0,0,0,105.08887,0,4275.8046,21.3946157153924,344.613473832749,0.124922749658383,0.0077232726,0,0,0,0,0,0,0,0,1.6374741e-06,0,0,5.8726423e-05,0,0.121155027727873,0.0413227995992113,3.98565906659397,15.1141832862407,0,1214.99049144575,58.7249529460839
"1773",2.09275560314782,0,0.024856862,0.010071225,0,0,0,0,0,105.06952,0,4274.7874,21.5952313931809,345.776809088935,0.127152765631722,0.0077232726,0,0,0,0,0,0,0,0,1.6733555e-06,0,0,6.276843e-05,0,0.123383931288779,0.042103480810332,3.96764090989652,15.2046637911123,0,1217.83412862663,58.9165688498098
"1774",2.15490074052517,0,0.024856862,0.010071225,0,0,0,0,0,105.0265,0,4272.5262,22.2597077294568,358.103585035246,0.12942378701092,0.0077232726,0,0,0,0,0,0,0,0,1.709014e-06,0,0,6.6784746e-05,0,0.125653840255543,0.0428989108564618,4.06836847740942,15.8755931766279,0,1263.46920919759,61.31335787056
