"scenario","year","variable","value","units","parameter_value"
"Ref_90",1850,"Tgav",0.171406105221695,"degC","ECS_1.5"
"Ref_90",1851,"Tgav",0.173722316571602,"degC","ECS_1.5"
"Ref_90",1852,"Tgav",0.177539590755028,"degC","ECS_1.5"
"Ref_90",1853,"Tgav",0.182190688082423,"degC","ECS_1.5"
"Ref_90",1854,"Tgav",0.186778417047549,"degC","ECS_1.5"
"Ref_90",1855,"Tgav",0.179762363307431,"degC","ECS_1.5"
"Ref_90",1856,"Tgav",0.137590528472288,"degC","ECS_1.5"
"Ref_90",1857,"Tgav",0.0884835844235144,"degC","ECS_1.5"
"Ref_90",1858,"Tgav",0.0824262183937437,"degC","ECS_1.5"
"Ref_90",1859,"Tgav",0.106402123404569,"degC","ECS_1.5"
"Ref_90",1860,"Tgav",0.132087295490133,"degC","ECS_1.5"
"Ref_90",1861,"Tgav",0.147345828367796,"degC","ECS_1.5"
"Ref_90",1862,"Tgav",0.150086108561942,"degC","ECS_1.5"
"Ref_90",1863,"Tgav",0.152979273467676,"degC","ECS_1.5"
"Ref_90",1864,"Tgav",0.162323563004751,"degC","ECS_1.5"
"Ref_90",1865,"Tgav",0.172974161957828,"degC","ECS_1.5"
"Ref_90",1866,"Tgav",0.182016478596384,"degC","ECS_1.5"
"Ref_90",1867,"Tgav",0.189141513771798,"degC","ECS_1.5"
"Ref_90",1868,"Tgav",0.194424477141157,"degC","ECS_1.5"
"Ref_90",1869,"Tgav",0.197665929733767,"degC","ECS_1.5"
"Ref_90",1870,"Tgav",0.199881843465556,"degC","ECS_1.5"
"Ref_90",1871,"Tgav",0.201755721007575,"degC","ECS_1.5"
"Ref_90",1872,"Tgav",0.202359243100498,"degC","ECS_1.5"
"Ref_90",1873,"Tgav",0.202027590217058,"degC","ECS_1.5"
"Ref_90",1874,"Tgav",0.20292789875253,"degC","ECS_1.5"
"Ref_90",1875,"Tgav",0.203441349786971,"degC","ECS_1.5"
"Ref_90",1876,"Tgav",0.20081290971042,"degC","ECS_1.5"
"Ref_90",1877,"Tgav",0.199100994731476,"degC","ECS_1.5"
"Ref_90",1878,"Tgav",0.201142211209811,"degC","ECS_1.5"
"Ref_90",1879,"Tgav",0.20482075882582,"degC","ECS_1.5"
"Ref_90",1880,"Tgav",0.208847345368404,"degC","ECS_1.5"
"Ref_90",1881,"Tgav",0.212429952609353,"degC","ECS_1.5"
"Ref_90",1882,"Tgav",0.205925364600757,"degC","ECS_1.5"
"Ref_90",1883,"Tgav",0.126010483756977,"degC","ECS_1.5"
"Ref_90",1884,"Tgav",0.0106589193159404,"degC","ECS_1.5"
"Ref_90",1885,"Tgav",-0.0167632657949169,"degC","ECS_1.5"
"Ref_90",1886,"Tgav",0.00767691405897651,"degC","ECS_1.5"
"Ref_90",1887,"Tgav",0.0326145515227328,"degC","ECS_1.5"
"Ref_90",1888,"Tgav",0.0557375046938575,"degC","ECS_1.5"
"Ref_90",1889,"Tgav",0.0643103435374553,"degC","ECS_1.5"
"Ref_90",1890,"Tgav",0.0646427451638018,"degC","ECS_1.5"
"Ref_90",1891,"Tgav",0.0702956389739432,"degC","ECS_1.5"
"Ref_90",1892,"Tgav",0.0885238128025334,"degC","ECS_1.5"
"Ref_90",1893,"Tgav",0.11294981275915,"degC","ECS_1.5"
"Ref_90",1894,"Tgav",0.138148381749444,"degC","ECS_1.5"
"Ref_90",1895,"Tgav",0.154336962421505,"degC","ECS_1.5"
"Ref_90",1896,"Tgav",0.15321519129492,"degC","ECS_1.5"
"Ref_90",1897,"Tgav",0.146024699410342,"degC","ECS_1.5"
"Ref_90",1898,"Tgav",0.150441223012424,"degC","ECS_1.5"
"Ref_90",1899,"Tgav",0.163561487061398,"degC","ECS_1.5"
"Ref_90",1900,"Tgav",0.176924304421291,"degC","ECS_1.5"
"Ref_90",1901,"Tgav",0.184879244660058,"degC","ECS_1.5"
"Ref_90",1902,"Tgav",0.152970568939729,"degC","ECS_1.5"
"Ref_90",1903,"Tgav",0.0983951189267758,"degC","ECS_1.5"
"Ref_90",1904,"Tgav",0.0866205463559915,"degC","ECS_1.5"
"Ref_90",1905,"Tgav",0.109468841862355,"degC","ECS_1.5"
"Ref_90",1906,"Tgav",0.132168506447807,"degC","ECS_1.5"
"Ref_90",1907,"Tgav",0.143937670234278,"degC","ECS_1.5"
"Ref_90",1908,"Tgav",0.152016348833437,"degC","ECS_1.5"
"Ref_90",1909,"Tgav",0.162841692999412,"degC","ECS_1.5"
"Ref_90",1910,"Tgav",0.173127725981818,"degC","ECS_1.5"
"Ref_90",1911,"Tgav",0.181162645080491,"degC","ECS_1.5"
"Ref_90",1912,"Tgav",0.167025962393957,"degC","ECS_1.5"
"Ref_90",1913,"Tgav",0.148960283503351,"degC","ECS_1.5"
"Ref_90",1914,"Tgav",0.155468739223828,"degC","ECS_1.5"
"Ref_90",1915,"Tgav",0.16951866250944,"degC","ECS_1.5"
"Ref_90",1916,"Tgav",0.181282587703179,"degC","ECS_1.5"
"Ref_90",1917,"Tgav",0.189965315846678,"degC","ECS_1.5"
"Ref_90",1918,"Tgav",0.196693626981296,"degC","ECS_1.5"
"Ref_90",1919,"Tgav",0.201214106737104,"degC","ECS_1.5"
"Ref_90",1920,"Tgav",0.19787542763796,"degC","ECS_1.5"
"Ref_90",1921,"Tgav",0.194588537602562,"degC","ECS_1.5"
"Ref_90",1922,"Tgav",0.199892837185469,"degC","ECS_1.5"
"Ref_90",1923,"Tgav",0.205577189145611,"degC","ECS_1.5"
"Ref_90",1924,"Tgav",0.208351823833989,"degC","ECS_1.5"
"Ref_90",1925,"Tgav",0.210353634147456,"degC","ECS_1.5"
"Ref_90",1926,"Tgav",0.212621211098916,"degC","ECS_1.5"
"Ref_90",1927,"Tgav",0.214240839472894,"degC","ECS_1.5"
"Ref_90",1928,"Tgav",0.211493435644215,"degC","ECS_1.5"
"Ref_90",1929,"Tgav",0.205751206444648,"degC","ECS_1.5"
"Ref_90",1930,"Tgav",0.204346569362009,"degC","ECS_1.5"
"Ref_90",1931,"Tgav",0.205808692161587,"degC","ECS_1.5"
"Ref_90",1932,"Tgav",0.204251762076676,"degC","ECS_1.5"
"Ref_90",1933,"Tgav",0.203785071719796,"degC","ECS_1.5"
"Ref_90",1934,"Tgav",0.206621656437881,"degC","ECS_1.5"
"Ref_90",1935,"Tgav",0.209100603576161,"degC","ECS_1.5"
